drug,brandNameDrug,medicalDrugName
Desflurane (Suprane),Desflurane,Suprane
Desipramine Hydrochloride (Norpramin),Desipramine,Norpramin
Desipramine Hydrochloride (Norpramin),Desipramine,Norpramin
Desirudin for Injection (Iprivask),Desirudin,Iprivask
Desloratadine (Clarinex),Desloratadine,Clarinex
Desloratadine (Clarinex),Desloratadine,Clarinex
Desloratadine and Pseudoephedrine Sulfate (Clarinex-D 12hr),Desloratadine,Clarinex-D
Desloratadine and Pseudoephedrine Sulfate (Clarinex-D 12hr),Desloratadine,Clarinex-D
Desloratadine and Pseudoephedrine Sulfate (Clarinex-D 24hr),Desloratadine,Clarinex-D
Desloratadine and Pseudoephedrine Sulfate (Clarinex-D 24hr),Desloratadine,Clarinex-D
Desmopressin Acetate Injection (DDAVP Injection),Desmopressin,DDAVP
Desmopressin Acetate Injection (DDAVP Injection),Desmopressin,DDAVP
Desmopressin Acetate Nasal Spray (DDAVP Nasal Spray),Desmopressin,DDAVP
Desmopressin Acetate Nasal Spray (DDAVP Nasal Spray),Desmopressin,DDAVP
Desmopressin Acetate Nasal Spray (Stimate),Desmopressin,Stimate
Desmopressin Acetate Nasal Spray (Stimate),Desmopressin,Stimate
Desmopressin Acetate Rhinal Tube (DDAVP Rhinal Tube),Desmopressin,DDAVP
Desmopressin Acetate Rhinal Tube (DDAVP Rhinal Tube),Desmopressin,DDAVP
Desmopressin Acetate Tablets (DDAVP),Desmopressin,DDAVP
Desmopressin Acetate Tablets (DDAVP),Desmopressin,DDAVP
Desogen (Desogestrel and Ethinyl Estradiol Tablets),Desogen,Desogestrel
Desogen (Desogestrel and Ethinyl Estradiol Tablets),Desogen,Desogestrel
Desogestrel and Ethinyl Estradiol and Ethinyl Estradiol (Kariva),Desogestrel,Kariva
Desogestrel and Ethinyl Estradiol and Ethinyl Estradiol (Kariva),Desogestrel,Kariva
Desogestrel and Ethinyl Estradiol Tablets (Apri),Desogestrel,Apri
Desogestrel and Ethinyl Estradiol Tablets (Apri),Desogestrel,Apri
Desogestrel and Ethinyl Estradiol Tablets (Desogen),Desogestrel,Desogen
Desogestrel and Ethinyl Estradiol Tablets (Desogen),Desogestrel,Desogen
Desogestrel and Ethinyl Estradiol Tablets (Ortho-Cept),Desogestrel,Ortho-Cept
Desogestrel Ethinyl Estradiol Tablets (Cyclessa),Desogestrel,Cyclessa
Desogestrel Ethinyl Estradiol Tablets (Cyclessa),Desogestrel,Cyclessa
"Desogestrel, Ethinyl Estradiol and Ethinyl Estradiol (Mircette)",Desogestrel,Mircette
"Desogestrel, Ethinyl Estradiol and Ethinyl Estradiol (Mircette)",Desogestrel,Mircette
Desonate (Desonide Gel),Desonate,Desonide
Desonate (Desonide Gel),Desonate,Desonide
"Desonide Cream, Ointment and Lotion (DesOwen)",Desonide,DesOwen
"Desonide Cream, Ointment and Lotion (DesOwen)",Desonide,DesOwen
Desonide Foam (Verdeso),Desonide,Verdeso
Desonide Foam (Verdeso),Desonide,Verdeso
Desonide Gel (Desonate),Desonide,Desonate
Desonide Gel (Desonate),Desonide,Desonate
Desonide Lotion 0.05% (LoKara),Desonide,LoKara
Desonide Lotion 0.05% (LoKara),Desonide,LoKara
"DesOwen (Desonide Cream, Ointment and Lotion)",DesOwen,Desonide
"DesOwen (Desonide Cream, Ointment and Lotion)",DesOwen,Desonide
Desoximetasone (Topicort),Desoximetasone,Topicort
Desoximetasone (Topicort),Desoximetasone,Topicort
Desoxyn (Methamphetamine Hydrochloride),Desoxyn,Methamphetamine
Desoxyn (Methamphetamine Hydrochloride),Desoxyn,Methamphetamine
Desvenlafaxine Extended-release Tablets (Khedezla),Desvenlafaxine,Khedezla
Desvenlafaxine Extended-Release Tablets (Pristiq),Desvenlafaxine,Pristiq
Desvenlafaxine Extended-Release Tablets (Pristiq),Desvenlafaxine,Pristiq
Desyrel (Trazodone Hydrochloride),Desyrel,Trazodone
Desyrel (Trazodone Hydrochloride),Desyrel,Trazodone
Detrol (Tolterodine Tartrate),Detrol,Tolterodine
Detrol (Tolterodine Tartrate),Detrol,Tolterodine
Detrol LA (Tolterodine Tartrate),Detrol,Tolterodine
Detrol LA (Tolterodine Tartrate),Detrol,Tolterodine
Dexamethasone  (Decadron),Dexamethasone,Decadron
Dexamethasone (Dexamethasone),Dexamethasone,Dexamethasone
Dexamethasone (Dexamethasone),Dexamethasone,Dexamethasone
Dexamethasone Intravitreal Implant (Ozurdex),Dexamethasone,Ozurdex
Dexamethasone Intravitreal Implant (Ozurdex),Dexamethasone,Ozurdex
"Dexamethasone Sodium Phosphate Injection, USP (Hexadrol)",Dexamethasone,Hexadrol
Dexedrine Spansule (Dextroamphetamine Capsules),Dexedrine,Dextroamphetamine
Dexedrine Spansule (Dextroamphetamine Capsules),Dexedrine,Dextroamphetamine
Dexfenfluramine (FDA Removed From US Market 9/15/97) (Redux),Dexfenfluramine,FDA
"Dexferrum (Iron Dextran Injection, USP)",Dexferrum,Iron
Dexilant and Dexilant SoluTabs (Dexlansoprazole Capsules and Tablets),Dexilant,Dexlansoprazole
Dexilant and Dexilant SoluTabs (Dexlansoprazole Capsules and Tablets),Dexilant,Dexlansoprazole
Dexlansoprazole Capsules and Tablets (Dexilant and Dexilant SoluTabs),Dexlansoprazole,Dexilant
Dexlansoprazole Capsules and Tablets (Dexilant and Dexilant SoluTabs),Dexlansoprazole,Dexilant
Dexlansoprazole Delayed Release Capsules (Kapidex Delayed Release Capsules),Dexlansoprazole,Kapidex
Dexlansoprazole Delayed Release Capsules (Kapidex Delayed Release Capsules),Dexlansoprazole,Kapidex
Dexmedetomidine hydrochloride (Precedex),Dexmedetomidine,Precedex
Dexmethylphenidate Hydrochloride (Focalin),Dexmethylphenidate,Focalin
Dexmethylphenidate Hydrochloride (Focalin),Dexmethylphenidate,Focalin
Dexmethylphenidate Hydrochloride (Focalin XR),Dexmethylphenidate,Focalin
Dexmethylphenidate Hydrochloride (Focalin XR),Dexmethylphenidate,Focalin
Dexrazoxane (Zinecard),Dexrazoxane,Zinecard
Dexrazoxane (Zinecard),Dexrazoxane,Zinecard
"Dexrazoxane for Injection,  Intravenous Infusion Only  (Totect)",Dexrazoxane,Totect
"Dexrazoxane for Injection,  Intravenous Infusion Only  (Totect)",Dexrazoxane,Totect
Dextroamphetamine Capsules (Dexedrine Spansule),Dextroamphetamine,Dexedrine
Dextroamphetamine Capsules (Dexedrine Spansule),Dextroamphetamine,Dexedrine
"Dextroamphetamine Sulfate Tablets, USP (Zenzedi)",Dextroamphetamine,Zenzedi
Dextromethorphan Hydrobromide and Quinidine Sulfate Capsules (Nuedexta Capsules),Dextromethorphan,Nuedexta
Dextromethorphan Hydrobromide and Quinidine Sulfate Capsules (Nuedexta Capsules),Dextromethorphan,Nuedexta
Dextrose / Electrolytes No. 48 (5% Dextrose and Electrolyte No. 48 Injection),Dextrose,5
Dextrose / Electrolytes No. 75 (5% Dextrose and Electrolyte No. 75 Inj),Dextrose,5
Dextrose 5% in 0.9% Sodium Chloride (Dextrose and Sodium Chloride Inj),Dextrose,Dextrose
Dextrose and Sodium Chloride Inj (Dextrose 5% in 0.9% Sodium Chloride),Dextrose,Dextrose
Dextrose Injection 5% (Hydrous Dextrose),Dextrose,Hydrous
Dht (Dihydrotachysterol),Dht,Dihydrotachysterol
DiaBeta (Glyburide Tablets),DiaBeta,Glyburide
DiaBeta (Glyburide Tablets),DiaBeta,Glyburide
Diabinese (Chlorpropamide),Diabinese,Chlorpropamide
Diabinese (Chlorpropamide),Diabinese,Chlorpropamide
Diamox Sequels (Acetazolamide XR),Diamox,Acetazolamide
Diamox Sequels (Acetazolamide XR),Diamox,Acetazolamide
Dianeal Low Calcium (Low Calcium Peritoneal Dialysis Solutions),Dianeal,Low
Dianeal PD-1 (Peritoneal Dialysis Solution),Dianeal,Peritoneal
Dianeal PD-2 (Peritoneal Dialysis Solution),Dianeal,Peritoneal
Diastat Acudial (Diazepam Rectal Gel),Diastat,Diazepam
Diastat Acudial (Diazepam Rectal Gel),Diastat,Diazepam
"Diatrizoate Meglumine and Diatrizoate Sodium Injection, USP (MD-76r)",Diatrizoate,MD-76r
Diazepam (Diazepam Tablets),Diazepam,Diazepam
Diazepam (Diazepam Tablets),Diazepam,Diazepam
Diazepam Rectal Gel (Diastat Acudial),Diazepam,Diastat
Diazepam Rectal Gel (Diastat Acudial),Diazepam,Diastat
Diazepam Rectal Gel (Diazepam Rectal Gel),Diazepam,Diazepam
Diazepam Tablets (Diazepam),Diazepam,Diazepam
Diazepam Tablets (Diazepam),Diazepam,Diazepam
Diazepam Tablets (Valium),Diazepam,Valium
Diazepam Tablets (Valium),Diazepam,Valium
Diazoxide Capsules (Proglycem),Diazoxide,Proglycem
Diazoxide Capsules (Proglycem),Diazoxide,Proglycem
Dibenzyline (Phenoxybenzamine),Dibenzyline,Phenoxybenzamine
Dibenzyline (Phenoxybenzamine),Dibenzyline,Phenoxybenzamine
Dichlorphenamide Tablets (Keveyis),Dichlorphenamide,Keveyis
Diclegis (Doxylamine Succinate and Pyridoxine Hydrochloride Delayed-release Tablets),Diclegis,Doxylamine
Diclofenac Capsules (Zorvolex),Diclofenac,Zorvolex
Diclofenac Epolamine Topical Patch (Flector Patch),Diclofenac,Flector
Diclofenac Epolamine Topical Patch (Flector Patch),Diclofenac,Flector
Diclofenac Potassium for Oral Solution (Cambia),Diclofenac,Cambia
Diclofenac Potassium for Oral Solution (Cambia),Diclofenac,Cambia
Diclofenac Potassium Immediate-Release Tablets (Cataflam),Diclofenac,Cataflam
Diclofenac Potassium Immediate-Release Tablets (Cataflam),Diclofenac,Cataflam
Diclofenac Potassium Liquid Filled Capsules (Zipsor),Diclofenac,Zipsor
Diclofenac Sodium (Solaraze),Diclofenac,Solaraze
Diclofenac Sodium (Solaraze),Diclofenac,Solaraze
Diclofenac Sodium (Voltaren),Diclofenac,Voltaren
Diclofenac Sodium (Voltaren),Diclofenac,Voltaren
Diclofenac Sodium Extended-Release Tablets (Voltaren XR),Diclofenac,Voltaren
Diclofenac Sodium Extended-Release Tablets (Voltaren XR),Diclofenac,Voltaren
Diclofenac Sodium for Injection (Dyloject),Diclofenac,Dyloject
Diclofenac Sodium Gel (Voltaren Gel),Diclofenac,Voltaren
Diclofenac Sodium Gel (Voltaren Gel),Diclofenac,Voltaren
Diclofenac Sodium Ophthalmic Solution (Voltaren Ophthalmic),Diclofenac,Voltaren
Diclofenac Sodium Ophthalmic Solution (Voltaren Ophthalmic),Diclofenac,Voltaren
Diclofenac Sodium Topical Solution (PENNSAID),Diclofenac,PENNSAID
Diclofenac Sodium Topical Solution (PENNSAID),Diclofenac,PENNSAID
"Diclofenac Sodium, Misoprostol (Arthrotec)",Diclofenac,Arthrotec
"Diclofenac Sodium, Misoprostol (Arthrotec)",Diclofenac,Arthrotec
Dicloxacillin (Dynapen),Dicloxacillin,Dynapen
Dicloxacillin (Dynapen),Dicloxacillin,Dynapen
Dicyclomine (Bentyl),Dicyclomine,Bentyl
Dicyclomine (Bentyl),Dicyclomine,Bentyl
Didanosine Delayed-Release Capsules (Videx EC),Didanosine,Videx
Didanosine Delayed-Release Capsules (Videx EC),Didanosine,Videx
Didanosine Pediatric Powder for Oral Solution (Videx),Didanosine,Videx
Didanosine Pediatric Powder for Oral Solution (Videx),Didanosine,Videx
Didrex (Benzphetamine),Didrex,Benzphetamine
Didrex (Benzphetamine),Didrex,Benzphetamine
Didronel (Etidronate Disodium),Didronel,Etidronate
Didronel (Etidronate Disodium),Didronel,Etidronate
Dienestrol (Dienestrol),Dienestrol,Dienestrol
Diethylpropion (Tenuate),Diethylpropion,Tenuate
Diethylpropion (Tenuate),Diethylpropion,Tenuate
Difenoxin and Atropine (Motofen),Difenoxin,Motofen
Differin Cream (Adapalene Cream),Differin,Adapalene
Differin Gel .1% (Adapalene Gel),Differin,Adapalene
Differin Gel .1% (Adapalene Gel),Differin,Adapalene
Differin Gel .3% (Adapalene),Differin,Adapalene
Differin Gel .3% (Adapalene),Differin,Adapalene
Differin Lotion .1 (Adapalene Lotion .1%),Differin,Adapalene
Differin Lotion .1 (Adapalene Lotion .1%),Differin,Adapalene
Dificid (Fidaxomicin Tablets for Oral Administration),Dificid,Fidaxomicin
Dificid (Fidaxomicin Tablets for Oral Administration),Dificid,Fidaxomicin
Diflorasone Diacetate (ApexiCon E),Diflorasone,ApexiCon
Diflorasone Diacetate (ApexiCon E),Diflorasone,ApexiCon
Diflorasone Diacetate Cream (Psorcon E Emollient Cream),Diflorasone,Psorcon
Diflorasone Diacetate Cream (Psorcon E Emollient Cream),Diflorasone,Psorcon
Diflucan (Fluconazole),Diflucan,Fluconazole
Diflucan (Fluconazole),Diflucan,Fluconazole
Diflunisal (Dolobid),Diflunisal,Dolobid
Diflunisal (Dolobid),Diflunisal,Dolobid
Difluprednate Opthalmic Emulsion (Durezol),Difluprednate,Durezol
Difluprednate Opthalmic Emulsion (Durezol),Difluprednate,Durezol
Digibind (Digoxin Immune Fab),Digibind,Digoxin
Digibind (Digoxin Immune Fab),Digibind,Digoxin
DigiFab (Ovine Lyophilized Powder for Intravenous Injection),DigiFab,Ovine
Digitek (Digoxin Tablets),Digitek,Digoxin
Digitek (Digoxin Tablets),Digitek,Digoxin
Digoxin Immune Fab (Digibind),Digoxin,Digibind
Digoxin Immune Fab (Digibind),Digoxin,Digibind
Digoxin Injection (Lanoxin Injection),Digoxin,Lanoxin
Digoxin Tablets (Digitek),Digoxin,Digitek
Digoxin Tablets (Digitek),Digoxin,Digitek
Digoxin Tablets (Lanoxin),Digoxin,Lanoxin
Digoxin Tablets (Lanoxin),Digoxin,Lanoxin
Dihydroergotamine (D. H. E. 45),Dihydroergotamine,D
Dihydroergotamine (D. H. E. 45),Dihydroergotamine,D
Dihydroergotamine Mesylate Spray (Migranal),Dihydroergotamine,Migranal
Dihydroergotamine Mesylate Spray (Migranal),Dihydroergotamine,Migranal
Dihydrotachysterol (Dht),Dihydrotachysterol,Dht
"Dilacor XR (Diltiazem Hydrochloride Capsule, Extended Release)",Dilacor,Diltiazem
"Dilacor XR (Diltiazem Hydrochloride Capsule, Extended Release)",Dilacor,Diltiazem
Dilantin (Phenytoin),Dilantin,Phenytoin
Dilantin (Phenytoin),Dilantin,Phenytoin
Dilantin 125 (Phenytoin Oral Suspension),Dilantin,Phenytoin
Dilantin 125 (Phenytoin Oral Suspension),Dilantin,Phenytoin
Dilantin Infatabs (Phenytoin Tablets),Dilantin,Phenytoin
Dilantin Infatabs (Phenytoin Tablets),Dilantin,Phenytoin
Dilantin Kapseals (Extended Phenytoin Sodium Capsules),Dilantin,Extended
Dilatrate SR (Isosorbide Dinitrate Sustained Release Capsules),Dilatrate,Isosorbide
Dilaudid (Hydromorphone Hydrochloride),Dilaudid,Hydromorphone
Dilaudid (Hydromorphone Hydrochloride),Dilaudid,Hydromorphone
Dilaudid-HP (Hydromorphone Hydrochloride Injection),Dilaudid-HP,Hydromorphone
Dilaudid-HP (Hydromorphone Hydrochloride Injection),Dilaudid-HP,Hydromorphone
Diltiazem (Cardizem LA),Diltiazem,Cardizem
Diltiazem (Cardizem LA),Diltiazem,Cardizem
Diltiazem HCl (Cardizem CD),Diltiazem,Cardizem
Diltiazem HCl (Cardizem CD),Diltiazem,Cardizem
Diltiazem Hcl (Tiazac),Diltiazem,Tiazac
Diltiazem Hcl (Tiazac),Diltiazem,Tiazac
Diltiazem Hydrochloride (Cardizem),Diltiazem,Cardizem
Diltiazem Hydrochloride (Cardizem),Diltiazem,Cardizem
"Diltiazem Hydrochloride Capsule, Extended Release (Dilacor XR)",Diltiazem,Dilacor
"Diltiazem Hydrochloride Capsule, Extended Release (Dilacor XR)",Diltiazem,Dilacor
Diltiazem Hydrochloride Extended Release Capsules (Cartia XT),Diltiazem,Cartia
Diltiazem Hydrochloride Extended Release Capsules (Cartia XT),Diltiazem,Cartia
Dimercarprol Injection (Bal in Oil Ampules),Dimercarprol,Bal
Dimercarprol Injection (Bal in Oil Ampules),Dimercarprol,Bal
"Dimetane (Brompheniramine, Phenylpropanolamine, and Codeine)",Dimetane,Brompheniramine
"Dimetane (Brompheniramine, Phenylpropanolamine, and Codeine)",Dimetane,Brompheniramine
Dimethyl Fumarate Delayed Release Capsules (Tecfidera),Dimethyl,Tecfidera
Dinoprostone (Cervidil),Dinoprostone,Cervidil
Dinoprostone (Cervidil),Dinoprostone,Cervidil
Dinoprostone Cervical Gel (Prepidil),Dinoprostone,Prepidil
Dinoprostone Cervical Gel (Prepidil),Dinoprostone,Prepidil
Dinoprostone Vaginal Suppository (Prostin E2),Dinoprostone,Prostin
Dinoprostone Vaginal Suppository (Prostin E2),Dinoprostone,Prostin
Dinutuximab Injection (Unituxin),Dinutuximab,Unituxin
Diovan (Valsartan),Diovan,Valsartan
Diovan (Valsartan),Diovan,Valsartan
Diovan HCT (Valsartan and Hydrochlorothiazide),Diovan,Valsartan
Diovan HCT (Valsartan and Hydrochlorothiazide),Diovan,Valsartan
Dipentum (Olsalazine Sodium Capsules),Dipentum,Olsalazine
Dipentum (Olsalazine Sodium Capsules),Dipentum,Olsalazine
Diphenhydramine (Benadryl),Diphenhydramine,Benadryl
Diphenhydramine (Benadryl),Diphenhydramine,Benadryl
Diphenhydramine Injection (Benadryl Injection),Diphenhydramine,Benadryl
Diphenoxylate and Atropine (Lomotil),Diphenoxylate,Lomotil
Diphenoxylate and Atropine (Lomotil),Diphenoxylate,Lomotil
Diphtheria and Tetanus (Diphtheria and Tetanus Toxoids),Diphtheria,Diphtheria
Diphtheria and Tetanus (Diphtheria and Tetanus Toxoids),Diphtheria,Diphtheria
Diphtheria and Tetanus Toxoids (Diphtheria and Tetanus),Diphtheria,Diphtheria
Diphtheria and Tetanus Toxoids (Diphtheria and Tetanus),Diphtheria,Diphtheria
Diphtheria and Tetanus Toxoids and Acellular Pertussis (Infanrix),Diphtheria,Infanrix
Diphtheria and Tetanus Toxoids and Acellular Pertussis (Infanrix),Diphtheria,Infanrix
Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (Quadracel),Diphtheria,Quadracel
Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine (Tripedia),Diphtheria,Tripedia
Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed (Certiva),Diphtheria,Certiva
Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed (Daptacel),Diphtheria,Daptacel
Diphtheria and Tetanus Toxoids and Pertussis Vaccine Adsorbed USP (DTP),Diphtheria,DTP
Diphtheria CRM197 Protein Conjugate (HibTITER),Diphtheria,HibTITER
"Diphtheria, Tetanus Toxoids and Acellular Pertussis Adsorbed, Hepatitis B and Inactivated Poliovirus Vaccine (Pediarix)",Diphtheria,Pediarix
"Diphtheria, Tetanus Toxoids and Acellular Pertussis Adsorbed, Hepatitis B and Inactivated Poliovirus Vaccine (Pediarix)",Diphtheria,Pediarix
Dipivefrin (Propine),Dipivefrin,Propine
Dipivefrin (Propine),Dipivefrin,Propine
Diprivan (Propofol),Diprivan,Propofol
Diprivan (Propofol),Diprivan,Propofol
Diprolene AF (Betamethasone),Diprolene,Betamethasone
Diprolene AF (Betamethasone),Diprolene,Betamethasone
Diprolene Lotion (Betamethasone Dipropionate),Diprolene,Betamethasone
Diprolene Lotion (Betamethasone Dipropionate),Diprolene,Betamethasone
Diprolene Ointment (Betamethasone Dipropionate),Diprolene,Betamethasone
Diprolene Ointment (Betamethasone Dipropionate),Diprolene,Betamethasone
Diptheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (Kinrix),Diptheria,Kinrix
Diptheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (Kinrix),Diptheria,Kinrix
Dipyridamole (Persantine),Dipyridamole,Persantine
Dipyridamole (Persantine),Dipyridamole,Persantine
Dipyridamole Injection (Dipyridamole Injection),Dipyridamole,Dipyridamole
Disalcid (Salsalate),Disalcid,Salsalate
Disalcid (Salsalate),Disalcid,Salsalate
Disopyramide Phosphate (Norpace),Disopyramide,Norpace
Disopyramide Phosphate (Norpace),Disopyramide,Norpace
Disulfiram (Antabuse),Disulfiram,Antabuse
Disulfiram (Antabuse),Disulfiram,Antabuse
"Ditrizoate Meglumine Injection USP, 30% (Cystografin)",Ditrizoate,Cystografin
Ditropan (Oxybutynin Tablets),Ditropan,Oxybutynin
Ditropan (Oxybutynin Tablets),Ditropan,Oxybutynin
Ditropan XL (Oxybutynin Chloride Extended Release Tablets),Ditropan,Oxybutynin
Ditropan XL (Oxybutynin Chloride Extended Release Tablets),Ditropan,Oxybutynin
Diucardin (Hydroflumethiazide),Diucardin,Hydroflumethiazide
Diuril (Chlorothiazide),Diuril,Chlorothiazide
Diuril (Chlorothiazide),Diuril,Chlorothiazide
Divalproex Sodium (Depakote ER),Divalproex,Depakote
Divalproex Sodium (Depakote ER),Divalproex,Depakote
Divalproex Sodium Sprinkle Capsules (Depakote Sprinkle Capsules),Divalproex,Depakote
Divalproex Sodium Sprinkle Capsules (Depakote Sprinkle Capsules),Divalproex,Depakote
Divigel (Estradiol Gel),Divigel,Estradiol
Divigel (Estradiol Gel),Divigel,Estradiol
DMSO (Rimso-50),DMSO,Rimso-50
DMSO (Rimso-50),DMSO,Rimso-50
Dobutamine (Dobutamine),Dobutamine,Dobutamine
Docefrez (docetaxel),Docefrez,docetaxel
Docefrez (docetaxel),Docefrez,docetaxel
docetaxel (Docefrez),docetaxel,Docefrez
docetaxel (Docefrez),docetaxel,Docefrez
Docetaxel for Injection (Taxotere),Docetaxel,Taxotere
Docetaxel for Injection (Taxotere),Docetaxel,Taxotere
Dofetilide (Tikosyn),Dofetilide,Tikosyn
Dofetilide (Tikosyn),Dofetilide,Tikosyn
Dolasetron (Anzemet Tablets),Dolasetron,Anzemet
Dolasetron (Anzemet Tablets),Dolasetron,Anzemet
Dolasetron Mesylate Injection (Anzemet Injection),Dolasetron,Anzemet
Dolasetron Mesylate Injection (Anzemet Injection),Dolasetron,Anzemet
Dolobid (Diflunisal),Dolobid,Diflunisal
Dolobid (Diflunisal),Dolobid,Diflunisal
Dolophine (Methadone Tablets),Dolophine,Methadone
Dolophine (Methadone Tablets),Dolophine,Methadone
Dolophine (Methadone Tablets),Dolophine,Methadone
Dolophine (Methadone Tablets),Dolophine,Methadone
Donepezil Hydrochloride (Aricept),Donepezil,Aricept
Donepezil Hydrochloride (Aricept),Donepezil,Aricept
"Donnatal Extentabs (Belladonna Alkaloids, Phenobarbital)",Donnatal,Belladonna
"Donnatal Extentabs (Belladonna Alkaloids, Phenobarbital)",Donnatal,Belladonna
"Donnatal Tablets (Phenobarbital, Hyoscyamine Sulfate, Atropine Sulfate, Scopolamine Hydrobromide Tablets)",Donnatal,Phenobarbital
Dopamine (Dopamine Hydrochloride),Dopamine,Dopamine
Dopamine (Dopamine Hydrochloride),Dopamine,Dopamine
Dopamine Hydrochloride (Dopamine),Dopamine,Dopamine
Dopamine Hydrochloride (Dopamine),Dopamine,Dopamine
Dopamine Hydrochloride (Dopamine Hydrochloride Injection),Dopamine,Dopamine
Dopamine Hydrochloride Injection (Dopamine Hydrochloride),Dopamine,Dopamine
Dopar (Levodopa),Dopar,Levodopa
Dopram (Doxapram),Dopram,Doxapram
Doral (Quazepam Tablets),Doral,Quazepam
Doral (Quazepam Tablets),Doral,Quazepam
Doribax (Doripenem for Injection),Doribax,Doripenem
Doribax (Doripenem for Injection),Doribax,Doripenem
Doripenem for Injection (Doribax),Doripenem,Doribax
Doripenem for Injection (Doribax),Doripenem,Doribax
Dornase alfa (Pulmozyme),Dornase,Pulmozyme
Dornase alfa (Pulmozyme),Dornase,Pulmozyme
Doryx (Doxycycline Hyclate),Doryx,Doxycycline
Doryx (Doxycycline Hyclate),Doryx,Doxycycline
Dorzolamide Hydrochloride Ophthalmic Solution (Trusopt),Dorzolamide,Trusopt
Dorzolamide Hydrochloride Ophthalmic Solution (Trusopt),Dorzolamide,Trusopt
Dorzolamide Hydrochloride-Timolol Maleate Ophthalmic Solution (Cosopt),Dorzolamide,Cosopt
Dorzolamide Hydrochloride-Timolol Maleate Ophthalmic Solution (Cosopt),Dorzolamide,Cosopt
Dostinex (Cabergoline),Dostinex,Cabergoline
Dostinex (Cabergoline),Dostinex,Cabergoline
Dotarem (Gadoterate Meglumine for Use with Magnetic Resonance Imaging),Dotarem,Gadoterate
Doutegravir 50mg Tablets (Tivicay),Doutegravir,Tivicay
Dovonex Cream (Calcipotriene Cream),Dovonex,Calcipotriene
Dovonex Cream (Calcipotriene Cream),Dovonex,Calcipotriene
Dovonex Ointment (Calcipotriene Ointment),Dovonex,Calcipotriene
Dovonex Ointment (Calcipotriene Ointment),Dovonex,Calcipotriene
Dovonex Scalp (Calcipotriene Solution),Dovonex,Calcipotriene
Dovonex Scalp (Calcipotriene Solution),Dovonex,Calcipotriene
Doxacurium Chloride (Nuromax),Doxacurium,Nuromax
Doxapram (Dopram),Doxapram,Dopram
Doxazosin Mesylate (Cardura),Doxazosin,Cardura
Doxazosin Mesylate (Cardura),Doxazosin,Cardura
Doxazosin Mesylate Extended Release Tablets (Cardura XL),Doxazosin,Cardura
Doxazosin Mesylate Extended Release Tablets (Cardura XL),Doxazosin,Cardura
Doxepin (Prudoxin),Doxepin,Prudoxin
Doxepin (Sinequan),Doxepin,Sinequan
Doxepin (Sinequan),Doxepin,Sinequan
Doxepin (Zonalon),Doxepin,Zonalon
Doxepin Tablets (Silenor),Doxepin,Silenor
Doxepin Tablets (Silenor),Doxepin,Silenor
Doxercalciferol Injection (Hectorol Injection),Doxercalciferol,Hectorol
Doxercalciferol Injection (Hectorol Injection),Doxercalciferol,Hectorol
Doxercalciferol Liquid Filled Capsule (Hectorol),Doxercalciferol,Hectorol
Doxercalciferol Liquid Filled Capsule (Hectorol),Doxercalciferol,Hectorol
Doxil (Doxorubicin Hcl Liposome Injection),Doxil,Doxorubicin
Doxil (Doxorubicin Hcl Liposome Injection),Doxil,Doxorubicin
Doxorubicin Hcl Liposome Injection (Doxil),Doxorubicin,Doxil
Doxorubicin Hcl Liposome Injection (Doxil),Doxorubicin,Doxil
Doxorubicin hydrochloride (Adriamycin PFS),Doxorubicin,Adriamycin
Doxorubicin hydrochloride (Adriamycin PFS),Doxorubicin,Adriamycin
Doxorubicin Hydrochloride Injection (Doxorubicin Hydrochloride Injection),Doxorubicin,Doxorubicin
Doxycycline (Monodox),Doxycycline,Monodox
Doxycycline (Monodox),Doxycycline,Monodox
Doxycycline (Oracea),Doxycycline,Oracea
Doxycycline (Oracea),Doxycycline,Oracea
Doxycycline Calcium Oral (Vibramycin),Doxycycline,Vibramycin
Doxycycline Calcium Oral (Vibramycin),Doxycycline,Vibramycin
Doxycycline Hyclate (Atridox),Doxycycline,Atridox
Doxycycline Hyclate (Doryx),Doxycycline,Doryx
Doxycycline Hyclate (Doryx),Doxycycline,Doryx
Doxycycline Hyclate (Doxycycline Hyclate Delayed-release Tablets ),Doxycycline,Doxycycline
Doxycycline Hyclate (Periostat),Doxycycline,Periostat
Doxycycline Hyclate (Periostat),Doxycycline,Periostat
Doxycycline hyclate (Vibramycin Intravenous),Doxycycline,Vibramycin
Doxycycline Hyclate Delayed-release Tablets  (Doxycycline Hyclate),Doxycycline,Doxycycline
"Doxycycline Hyclate Tablets, USP (Acticlate)",Doxycycline,Acticlate
Doxycyline Capsules (Adoxa),Doxycyline,Adoxa
Doxycyline Capsules (Adoxa),Doxycyline,Adoxa
Doxylamine Succinate and Pyridoxine Hydrochloride Delayed-release Tablets (Diclegis),Doxylamine,Diclegis
Drisdol (Ergocalciferol Capsules),Drisdol,Ergocalciferol
